filename: p282_187.txt
x_pixel:      282
y_pixel:      187
diff2_ts/diff2_ts.tab
slope (units per day):   -7.4040e-05
intercept (dt=0.0):       1.3583e-02
std. deviation:           4.9938e-03
index      time ISO8601         JD 1-Jan-1970      JD start       data       linear model
******************************************************************************************
   0  2016-11-14T12:02:54.095   17119.502015       0.000000   -4.41380e-15    1.35833e-02
   1  2016-12-08T12:02:53.489   17143.502008      23.999993    9.57978e-03    1.18063e-02
   2  2017-01-01T12:02:51.591   17167.501986      47.999971    6.01276e-03    1.00294e-02
   3  2017-01-25T12:02:50.884   17191.501978      71.999963    1.26790e-02    8.25240e-03
   4  2017-02-06T12:02:50.654   17203.501975      83.999960    7.44475e-03    7.36392e-03
   5  2017-02-18T12:02:50.361   17215.501972      95.999957    3.38312e-03    6.47544e-03
   6  2017-03-02T12:02:50.155   17227.501969     107.999954    3.78539e-03    5.58695e-03
   7  2017-03-14T12:02:50.542   17239.501974     119.999959   -9.99404e-04    4.69847e-03
   8  2017-03-26T12:02:50.753   17251.501976     131.999961   -2.38364e-03    3.80999e-03
   9  2017-04-07T12:02:51.232   17263.501982     143.999967    3.63138e-03    2.92150e-03
  10  2017-04-19T12:02:51.850   17275.501989     155.999974   -2.14740e-03    2.03302e-03
  11  2017-05-01T12:02:52.381   17287.501995     167.999980    2.43595e-03    1.14454e-03
  12  2017-05-13T12:02:53.052   17299.502003     179.999988    5.66135e-03    2.56051e-04
  13  2017-05-25T12:02:53.412   17311.502007     191.999992    9.41716e-03   -6.32433e-04
  14  2017-06-06T12:02:54.449   17323.502019     204.000004   -2.78030e-03   -1.52092e-03
  15  2017-06-18T12:02:55.078   17335.502026     216.000011   -1.00919e-04   -2.40940e-03
  16  2017-06-30T12:02:55.759   17347.502034     228.000019   -7.33953e-03   -3.29789e-03
  17  2017-07-12T12:02:56.390   17359.502042     240.000027    4.90499e-04   -4.18637e-03
  18  2017-07-24T12:02:57.139   17371.502050     252.000035   -3.50096e-03   -5.07485e-03
  19  2017-08-17T12:02:58.413   17395.502065     276.000050   -1.32732e-03   -6.85182e-03
  20  2017-08-29T12:02:58.972   17407.502071     288.000056   -6.38851e-03   -7.74031e-03
  21  2017-09-10T12:02:59.380   17419.502076     300.000061   -3.09102e-03   -8.62879e-03
  22  2017-09-22T12:02:59.760   17431.502081     312.000066   -1.11853e-03   -9.51727e-03
  23  2017-10-04T12:03:00.023   17443.502084     324.000069   -3.89501e-03   -1.04058e-02
  24  2017-10-16T12:03:00.234   17455.502086     336.000071   -3.69307e-03   -1.12942e-02
  25  2017-10-28T12:03:00.321   17467.502087     348.000072   -6.37864e-03   -1.21827e-02
  26  2017-11-09T12:02:59.926   17479.502082     360.000067   -1.55075e-02   -1.30712e-02
  27  2017-11-21T12:02:59.823   17491.502081     372.000066   -1.07599e-02   -1.39597e-02
  28  2017-12-03T12:02:59.385   17503.502076     384.000061   -1.19473e-02   -1.48482e-02
  29  2017-12-15T12:02:59.035   17515.502072     396.000057   -1.47597e-02   -1.57367e-02
  30  2017-12-27T12:02:58.408   17527.502065     408.000050   -1.18174e-02   -1.66251e-02
  31  2018-01-08T12:02:57.987   17539.502060     420.000045   -1.99872e-02   -1.75136e-02
  32  2018-01-20T12:02:57.594   17551.502055     432.000040   -1.91971e-02   -1.84021e-02
  33  2018-02-01T12:02:57.172   17563.502051     444.000036   -2.30135e-02   -1.92906e-02
  34  2018-02-13T12:02:57.086   17575.502050     456.000035   -2.48504e-02   -2.01791e-02
  35  2018-02-25T12:02:56.972   17587.502048     468.000033   -2.37978e-02   -2.10676e-02
  36  2018-03-21T12:02:57.021   17611.502049     492.000034   -2.17741e-02   -2.28445e-02
  37  2018-04-02T12:02:57.415   17623.502053     504.000038   -2.48260e-02   -2.37330e-02
  38  2018-04-14T12:02:57.881   17635.502059     516.000044   -2.47033e-02   -2.46215e-02
  39  2018-04-26T12:02:58.448   17647.502065     528.000050   -2.52159e-02   -2.55100e-02
  40  2018-05-08T12:02:58.982   17659.502072     540.000057   -2.75592e-02   -2.63985e-02
  41  2018-06-01T12:03:00.243   17683.502086     564.000071   -3.45454e-02   -2.81754e-02
  42  2018-06-13T12:03:01.188   17695.502097     576.000082   -2.85071e-02   -2.90639e-02
  43  2018-06-25T12:03:01.872   17707.502105     588.000090   -4.33828e-02   -2.99524e-02
