filename: p231_201.txt
x_pixel:      231
y_pixel:      201
diff2_ts/diff2_ts.tab
slope (units per day):   -6.7737e-05
intercept (dt=0.0):      -9.5621e-04
std. deviation:           2.1689e-03
index      time ISO8601         JD 1-Jan-1970      JD start       data       linear model
******************************************************************************************
   0  2019-11-23T12:03:12.831   18223.502232       0.000000   -4.41380e-15   -9.56207e-04
   1  2019-12-05T12:03:12.260   18235.502225      11.999993    5.11019e-04   -1.76905e-03
   2  2019-12-17T12:03:11.881   18247.502221      23.999989   -1.26522e-03   -2.58190e-03
   3  2019-12-29T12:03:11.381   18259.502215      35.999983   -3.77761e-03   -3.39475e-03
   4  2020-01-10T12:03:10.929   18271.502210      47.999978   -4.83219e-03   -4.20760e-03
   5  2020-01-22T12:03:10.510   18283.502205      59.999973   -3.80629e-03   -5.02045e-03
   6  2020-02-03T12:03:10.136   18295.502201      71.999969   -4.78368e-03   -5.83330e-03
   7  2020-02-15T12:03:09.790   18307.502197      83.999965   -5.92635e-03   -6.64614e-03
   8  2020-02-27T12:03:09.526   18319.502194      95.999962   -1.06440e-02   -7.45899e-03
   9  2020-03-10T12:03:09.782   18331.502197     107.999965   -1.17293e-02   -8.27184e-03
  10  2020-03-22T12:03:09.959   18343.502199     119.999967   -7.83530e-03   -9.08469e-03
  11  2020-04-03T12:03:10.197   18355.502201     131.999970   -1.02690e-02   -9.89754e-03
  12  2020-04-15T12:03:10.605   18367.502206     143.999974   -1.15763e-02   -1.07104e-02
  13  2020-04-27T12:03:11.121   18379.502212     155.999980   -1.07123e-02   -1.15232e-02
  14  2020-05-09T12:03:11.621   18391.502218     167.999986   -1.30687e-02   -1.23361e-02
  15  2020-05-21T12:03:12.407   18403.502227     179.999995   -1.08469e-02   -1.31489e-02
  16  2020-06-02T12:03:13.070   18415.502235     192.000003   -1.77346e-02   -1.39618e-02
  17  2020-06-14T12:03:13.912   18427.502244     204.000013   -1.73242e-02   -1.47746e-02
  18  2020-06-26T12:03:14.535   18439.502252     216.000020   -1.51003e-02   -1.55875e-02
  19  2020-07-08T12:03:15.177   18451.502259     228.000027   -1.70597e-02   -1.64003e-02
  20  2020-07-20T12:03:16.007   18463.502269     240.000037   -2.14194e-02   -1.72132e-02
  21  2020-08-01T12:03:16.773   18475.502277     252.000046   -1.44775e-02   -1.80260e-02
  22  2020-08-13T12:03:17.395   18487.502285     264.000053   -1.54950e-02   -1.88389e-02
  23  2020-08-25T12:03:18.160   18499.502294     276.000062   -2.54055e-02   -1.96517e-02
  24  2020-09-06T12:03:18.632   18511.502299     288.000067   -1.95444e-02   -2.04646e-02
  25  2020-09-18T12:03:19.036   18523.502304     300.000072   -2.16295e-02   -2.12774e-02
  26  2020-09-30T12:03:19.321   18535.502307     312.000075   -1.95217e-02   -2.20903e-02
  27  2020-10-12T12:03:19.672   18547.502311     324.000079   -2.13106e-02   -2.29031e-02
  28  2020-10-24T12:03:19.572   18559.502310     336.000078   -1.83571e-02   -2.37160e-02
  29  2020-11-05T12:03:19.437   18571.502308     348.000076   -2.26602e-02   -2.45288e-02
  30  2020-11-17T12:03:19.242   18583.502306     360.000074   -2.57576e-02   -2.53417e-02
  31  2020-11-29T12:03:18.770   18595.502301     372.000069   -2.63314e-02   -2.61545e-02
  32  2020-12-11T12:03:18.418   18607.502297     384.000065   -2.95986e-02   -2.69674e-02
  33  2020-12-23T12:03:17.757   18619.502289     396.000057   -2.87844e-02   -2.77802e-02
  34  2021-01-04T12:03:17.175   18631.502282     408.000050   -2.86259e-02   -2.85931e-02
  35  2021-01-16T12:03:16.658   18643.502276     420.000044   -2.98145e-02   -2.94059e-02
  36  2021-01-28T12:03:16.323   18655.502272     432.000040   -3.32549e-02   -3.02188e-02
  37  2021-02-09T12:03:15.955   18667.502268     444.000036   -3.13601e-02   -3.10316e-02
  38  2021-02-21T12:03:15.614   18679.502264     456.000032   -2.96683e-02   -3.18445e-02
  39  2021-03-05T12:03:15.509   18691.502263     468.000031   -3.14129e-02   -3.26573e-02
  40  2021-03-17T12:03:15.503   18703.502263     480.000031   -3.29482e-02   -3.34701e-02
  41  2021-03-29T12:03:15.887   18715.502267     492.000035   -3.34028e-02   -3.42830e-02
  42  2021-04-10T12:03:16.357   18727.502273     504.000041   -3.55687e-02   -3.50958e-02
  43  2021-04-22T12:03:16.898   18739.502279     516.000047   -3.68977e-02   -3.59087e-02
